model,regime,variant,n,coverage,width,pinball
LightGBM_anchored,crisis,conformal_conditional,11685,0.6847240051347881,130.25640243429123,19.38128047202996
LightGBM_anchored,post-crisis,uncalibrated,23367,0.7259382890400993,50.1586184229246,7.10168546022362
LightGBM_anchored,post-crisis,conformal_global,23367,0.8320708691744768,66.07391237728206,7.186773657820016
LightGBM_anchored,post-crisis,conformal_conditional,23367,0.811443488680618,66.12619328910198,7.367158917780994
LightGBM_anchored,pre-crisis,uncalibrated,3671,0.6349768455461727,26.871592396339608,4.979035498958937
LightGBM_anchored,pre-crisis,conformal_global,3671,0.7218741487333151,31.772073706935327,4.713995969796646
LightGBM_anchored,pre-crisis,conformal_conditional,3671,0.7237809861073277,31.65883948956055,4.655307793885248
N-HiTS,crisis,uncalibrated,11685,0.6827401807117831,80.84067583075314,12.803906349549319
N-HiTS,crisis,conformal_global,11685,0.753457495851005,93.26877099601357,12.725777265957166
N-HiTS,crisis,conformal_conditional,11685,0.7547482943020468,94.43481851346331,12.704868849613229
N-HiTS,post-crisis,uncalibrated,23367,0.6921082949308756,38.072476534919666,6.71926601747083
N-HiTS,post-crisis,conformal_global,23367,0.8139400921658986,49.631131357143055,6.66722216152715
N-HiTS,post-crisis,conformal_conditional,23367,0.8161962365591398,53.18519551237429,6.549789257417567
N-HiTS,pre-crisis,uncalibrated,3671,0.765542328042328,22.767399061924564,2.9165962490777564
N-HiTS,pre-crisis,conformal_global,3671,0.8538359788359788,27.14982658377905,2.9216956516101877
N-HiTS,pre-crisis,conformal_conditional,3671,0.8392857142857143,27.689069927165114,2.9188334745911693
SARIMA,crisis,uncalibrated,11685,0.15335900727428328,39.11521602279428,45.23117138102095
SARIMA,crisis,conformal_global,11685,0.4718870346598203,166.56210713067819,40.45767334606595
SARIMA,crisis,conformal_conditional,11685,0.46966195977749253,138.81729423043691,37.036143837034686
SARIMA,post-crisis,uncalibrated,23367,0.6227157957803741,63.56995691809096,13.714397067044807
SARIMA,post-crisis,conformal_global,23367,0.8660076175803484,179.75598260427086,14.579623935843564
SARIMA,post-crisis,conformal_conditional,23367,0.8501305259554072,161.18140153361318,13.451012294894332
SARIMA,pre-crisis,uncalibrated,3671,0.45927540179787524,23.72548727394715,6.386586776197538
SARIMA,pre-crisis,conformal_global,3671,0.7602833015527104,38.847820330829755,5.584178022485769
SARIMA,pre-crisis,conformal_conditional,3671,0.7395804957777172,33.18101118416172,4.788899580390252
SARIMAX,crisis,uncalibrated,11685,0.19178433889602053,36.516021082803604,39.386159497935296
SARIMAX,crisis,conformal_global,11685,0.4993581514762516,149.0906085485198,35.906644702274114
SARIMAX,crisis,conformal_conditional,11685,0.5018399657680788,130.50449915690072,33.65258133919505
SARIMAX,post-crisis,uncalibrated,23367,0.7859802285274105,53.909868559557296,7.537968823749832
SARIMAX,post-crisis,conformal_global,23367,0.8620704412205247,125.25851167133857,8.901608301478406
SARIMAX,post-crisis,conformal_conditional,23367,0.8349381606539137,118.67322956074759,9.343294454991304
SARIMAX,pre-crisis,uncalibrated,3671,0.4265867611005176,15.281951493362486,5.394352651413716
SARIMAX,pre-crisis,conformal_global,3671,0.6564968673385998,24.175902499583373,4.782308258929067
SARIMAX,pre-crisis,conformal_conditional,3671,0.6284391174067012,23.669963555877697,4.697817856989367
